id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,What type of Open well it is by your observation?,Who built the Open well?,What is the material that is primarily used to case the Open well ?,The Open well is connected to which of the following assets ?,How do people fetch water from the Open well ?,What is the depth of the Open well that you can observe?,What are the assets that you can observe near the Open well ?,Are people using this open well on a regular basis?,Were people drinking the water from this bore well while you visited this spot?,Would you drink the water from this bore well?,Are there any charges which come when getting water from this bore well?,What is the frequency of technical maintenance or safety audit ?
1257,Water,Open Wells,West Kameng,Singchung,Tenga Valley,27.20261,92.47719,pakka road,4g reliable,vodafone#bsnl#airtel,concrete,none#others,deep bore well,communities,cement,storage tanks/ underground tanks,others,30-50 m,septic tank,yes,yes,yes,no,others
3149,Water,Open Wells,Papumpare,Doimukh,Lekha,27.08346,93.75507,kacha road,4g reliable,vodafone#bsnl#jio#airtel#idea,concrete,none,deep bore well,others,cement,none,electrical motor,51-70m,none,yes,yes,yes,no,irregular
3300,Water,Open Wells,East Siang,Sille-Oyan,Sika-Bamin,27.91098,95.34241,kacha road,4g reliable,jio#bsnl#airtel,concrete,none,deep bore well,others,cement,none,electrical motor,30-50 m,none,yes,yes,yes,no,yearly
3383,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.59764,93.85749,footway,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,naturally found,none,none,others,30-50 m,none,yes,no,yes,no,irregular
3384,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.59764,93.85749,footway,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,naturally found,none,none,others,30-50 m,none,yes,no,yes,no,irregular
3385,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.59764,93.85749,footway,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,naturally found,none,none,others,30-50 m,none,yes,no,yes,no,irregular
3578,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.57463,93.86946,footway,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,naturally found,cement,over ground tanks,with simple bucket and rope,30-50 m,none,yes,yes,yes,no,yearly
3944,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59832,93.84339,kacha road,2g reliable,vodafone#bsnl#airtel,others,financial support,deep bore well,communities,cement,storage tanks/ underground tanks,none,30-50 m,none,yes,yes,yes,no,yearly
3950,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59785,93.84384,pakka road,2g reliable,vodafone#bsnl#airtel,others,none,deep bore well,communities,cement,none,others,above 150m,none,yes,yes,yes,no,yearly
3951,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59816,93.845,kacha road,2g reliable,vodafone#airtel#bsnl,others,financial support,deep bore well,communities,cement,storage tanks/ underground tanks,none,above 150m,none,yes,yes,yes,no,monthly
4065,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59728,93.8444,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,naturally found,cement,storage tanks/ underground tanks,none,30-50 m,none,yes,yes,yes,no,monthly
4067,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59699,93.8424,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,naturally found,cement,storage tanks/ underground tanks,others,30-50 m,none,yes,yes,yes,no,yearly
4072,Water,Open Wells,Lower Subansiri,Ziro,Kalong,27.59456,93.83929,footway,2g reliable,vodafone#bsnl#airtel,others,none,deep bore well,naturally found,cement,over ground tanks,none,30-50 m,none,yes,yes,yes,no,never
4073,Water,Open Wells,Lower Subansiri,Ziro,Kalong,27.595,93.84156,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,naturally found,cement,none,none,51-70m,none,yes,no,yes,no,monthly
4074,Water,Open Wells,Lower Subansiri,Ziro,Kalong,27.59397,93.84136,pakka road,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,naturally found,cement,storage tanks/ underground tanks,none,51-70m,none,yes,yes,yes,no,yearly
4076,Water,Open Wells,Lower Subansiri,Ziro,Kalong,27.59569,93.84062,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,naturally found,cement,none,none,30-50 m,none,yes,yes,yes,no,monthly
4140,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59608,93.84174,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,naturally found,cement,none,none,30-50 m,none,yes,yes,yes,no,monthly
4282,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.588790000000003,93.89939,footway,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,communities,cement,others,with simple bucket and rope,30-50 m,none,yes,yes,yes,no,yearly
4286,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.56756,93.83553,footway,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,communities,cement,others,with simple bucket and rope,30-50 m,none,no,no,no,no,never
4430,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.60022,93.84359,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,communities,cement,storage tanks/ underground tanks,none,above 150m,none,no,no,no,no,never
4542,Water,Open Wells,Lower Subansiri,Ziro,Hija,27.56048,93.83354,pakka road,2g reliable,bsnl#vodafone#airtel,concrete,none,shallow bore well,communities,cement,over ground tanks,with simple bucket and rope,30-50 m,none,no,no,no,no,irregular
4694,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.59689,93.84356,footway,2g reliable,vodafone#bsnl#airtel,others,none,shallow bore well,communities,cement,storage tanks/ underground tanks,none,91-120m,none,yes,yes,yes,no,monthly
4705,Water,Open Wells,Lower Subansiri,Ziro,Reru,27.596770000000006,93.84332,footway,2g reliable,vodafone#airtel#bsnl,others,none,shallow bore well,naturally found,cement,storage tanks/ underground tanks,none,51-70m,none,yes,no,yes,no,yearly
5337,Water,Open Wells,Lower Subansiri,Ziro,Hari,27.58442,93.84482,pakka road,2g unreliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,naturally found,cement,none,with simple bucket and rope,30-50 m,septic tank,no,no,no,no,never
5460,Water,Open Wells,Papumpare,Banderdewa,Kharsingsa Village,27.11258,93.78936,kacha road,3g unreliable,airtel,concrete,none,deep bore well,others,cement,others,electrical motor,30-50 m,none,yes,yes,yes,no,yearly
6329,Water,Open Wells,Lower Subansiri,Ziro,Tajang,27.54294,93.88966,pakka road,2g reliable,vodafone#bsnl#airtel,others,none,deep bore well,communities,others,others,none,30-50 m,none,yes,yes,yes,no,never
6736,Water,Open Wells,Lower Subansiri,Ziro,Lempiya,27.57216,93.8924,pakka road,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,communities,cement,none,none,30-50 m,none,yes,yes,yes,no,yearly
6845,Water,Open Wells,Lower Subansiri,Ziro,Lempiya,27.5746,93.83472,pakka road,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,naturally found,none,none,with simple bucket and rope,30-50 m,none,yes,yes,yes,no,yearly
6998,Water,Open Wells,Lower Subansiri,Ziro,Lempiya,27.59164,93.86494,kacha road,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,communities,none,none,with simple bucket and rope,30-50 m,none,yes,no,yes,no,yearly
7052,Water,Open Wells,Lower Subansiri,Ziro,Lempiya,27.57947,93.87592,kacha road,2g reliable,vodafone#bsnl#airtel,others,none,deep bore well,naturally found,cement,none,with simple bucket and rope,30-50 m,none,no,no,no,no,irregular
7058,Water,Open Wells,Lower Subansiri,Ziro,Tajang,27.5892,93.83747,pakka road with block point,2g reliable,vodafone#bsnl#airtel,concrete,none,shallow bore well,communities,none,storage tanks/ underground tanks,with simple bucket and rope,30-50 m,none,yes,yes,yes,no,yearly
7141,Water,Open Wells,Lower Subansiri,Ziro,Modang Tage,27.57287,93.82983,kacha road,3g reliable,vodafone#bsnl#airtel,rocks,none,deep bore well,communities,cement,none,pulley,30-50 m,none,yes,yes,yes,no,irregular
