id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset ?,How much distance should one travel from this asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this asset?,Are there toilets available seperately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for handwash available at this asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code,Does this asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this asset?,What are other type of book keeping methods used in the asset?,What are the areas the asset gets support from government agencies?,Do you get any support from NGO(s) for this asset?,From what Organization(s) did you get support?,Are you using any digital technologies that can be used in the asset?,For what purpose are you using digital tools here at this asset?,Which of the following trades are taken up in the centre?,Is training provided in the centres?,Which kind of equipments is mostly used in the centre?,Where are the finished products sold?,How is the finished products transported to the market?,What is the basis of payment to the employees in the centre?,Please Specify the other methods of payment.,What is the monthly revenue generated?,What is the operations cost per month?,Are your products branded?,What is the brand name?,Do you have a catalogue of the products made?
2404,2019-03-14 09:17:27,Handloom and Handicraft,Common Facility Centre,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34803,92.27327,Rejected,https://smartvillage.imagetrekk.com/storage/images/yByyQWJeCLVz7NhjS3lGmOWKMpVBT5nxn4Nl7J87.jpeg?asset_id=2404,weaving traditional dress,1,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Compound Wall\/ Fencing""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",3,0,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,2,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,"[""Weaving""]",No,Manual,"[""Sold to wholesale markets"",""Sold directly to cutomers from the CFCs""]","[""Others""]",Post-sale,,6000,9000,Yes,aery yarn,No
2407,2019-03-14 09:25:09,Handloom and Handicraft,Common Facility Centre,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34468,92.27115,Rejected,https://smartvillage.imagetrekk.com/storage/images/zcRW5tMLWcn1oUJ7MgpYXWM0NwKV74bzI9nr7iif.jpeg?asset_id=2407,weaving traditional dress,1,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",3,0,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,1,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,"[""Weaving""]",No,Manual,"[""Sold directly to cutomers from the CFCs"",""Sold to wholesale markets""]","[""Own vehicle is used""]",Post-sale,,10000,8000,Yes,yarn,No
2420,2019-03-14 10:12:20,Handloom and Handicraft,Common Facility Centre,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34803,92.27327,Approved,https://smartvillage.imagetrekk.com/storage/images/HLAIUgMqakEytYxTxmswbx2aNH7eAfrYhmZp1q0g.jpeg?asset_id=2420,weaving traditional dress,1,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Compound Wall\/ Fencing""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",3,0,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,2,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,"[""Weaving""]",No,Manual,"[""Sold to wholesale markets"",""Sold directly to cutomers from the CFCs""]","[""Others""]",Post-sale,,6000,9000,Yes,aery yarn,No
6817,2019-05-29 12:48:43,Handloom and Handicraft,Common Facility Centre,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,28.39197,93.52436,Approved,https://smartvillage.imagetrekk.com/storage/images/SV637rhMYbf6YWGKO6nCvElwNCIb1Uw9mYiFfK0V.jpeg?asset_id=6817,"CFC,Drg",1,Pakka Road,1,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",9:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""]",1,2,Tap Water from Government,,No,,,,None,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support""]",No,,No,,"[""Weaving""]",Yes,Manual,"[""Sold in exhibitions\/expos"",""Others""]","[""The buyer has to arrange transporation""]",Post-production payment,,5000,2500,No,,No
6847,2019-05-31 04:13:11,Handloom and Handicraft,Common Facility Centre,ngilyang thaka,Community,Ir-repairable,Lower Subansiri,Ziro,Lempiya,27.65248,93.81001,Rejected,https://smartvillage.imagetrekk.com/storage/images/N3rPHDQ32vIfDcyRTFn1zYlbryMLjSVwtPiZaX46.jpeg?asset_id=6847,common facility centre 1,5,Pakka Road,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",22:0 to 14:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",5,7,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Others,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Weaving""]",Yes,Semi-Automatic,"[""Sold in exhibitions\/expos""]","[""Pvt vehicle is hired""]",Post-production payment,,20000,10000,No,,No
6864,2019-05-31 06:18:42,Handloom and Handicraft,Common Facility Centre,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.5892,93.84846,Rejected,https://smartvillage.imagetrekk.com/storage/images/irjDZGH4NVuggReh0xbhgvUM0YQ485rFocEIRaae.jpeg?asset_id=6864,common gacility centre 2,2,Pakka Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing"",""Watchman""]",21:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",2,5,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,None,,,,,,,No,,No,,Digital Records- Using Computer/Mobile,,"[""None""]",No,,No,,"[""Woodcarving"",""Wood turning""]",No,Automatic,"[""Sold directly to cutomers from the CFCs"",""Sold to wholesale markets""]","[""Own vehicle is used""]",Post-production payment,,50000,200000,No,,No
6924,2019-06-02 18:33:57,Handloom and Handicraft,Common Facility Centre,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Old Ziro,27.5819,93.83747,Approved,https://smartvillage.imagetrekk.com/storage/images/yy5HHwuXeAbTXxFDTYHOIhmNsLAfcE0PkIAfdoZC.jpeg?asset_id=6924,cimmon facilitycentre 1,2,Pakka Road,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing"",""Watchman""]",22:0 to 3:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",7,12,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",Yes,nani sala foundation,No,,"[""Wood turning"",""Carpet making"",""Carpentry"",""Weaving"",""Tailoring""]",Yes,Semi-Automatic,"[""Sold to emporiums"",""Sold to wholesale markets"",""Sold in exhibitions\/expos""]","[""Own vehicle is used""]",Hire basis,,200000,100000,No,,No
1323,2019-02-20 11:15:28,Handloom and Handicraft,Common Facility Centre,kago yubbey,Government,Not in Use,Lower Subansiri,Ziro,Hong,27.53191,93.84911,Approved,https://smartvillage.imagetrekk.com/storage/images/rBasWRdwjGYG3UmEDbdfpZgKfVEo3nXGDtRz7B10.jpeg?asset_id=1323,not in use,3,Kacha Road,10,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",0.00-0.00,"[""Monday""]",0,0,Others,,Yes,No,No,No,None,,No,,None,,,,,,,No,,No,,None,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,No,,"[""Weaving""]",No,Manual,"[""Others""]","[""Others""]",others (please specify),non,1,1,Yes,non,No
1348,2019-02-21 06:08:35,Handloom and Handicraft,Common Facility Centre,hibu yagam,Private,In Use,Papumpare,Doimukh,Mani,27.17475,93.77084,Approved,https://smartvillage.imagetrekk.com/storage/images/rJ2PGkqjuEhZbu2pJfNePVuLl9ad9kH1hYR3EMTS.jpeg?asset_id=1348,handloom& handicrafts,1,Pakka Road,3,3G Reliable,"[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""None""]",7.00 A.M to 19.00 P.M,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,2,Tap Water from Government,,Yes,No,No,No,Burnt within the premises,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Cane and Bamboo""]",No,Manual,"[""Sold to wholesale markets"",""Sold directly to cutomers from the CFCs"",""Others""]","[""The buyer has to arrange transporation"",""Pvt vehicle is hired""]",Hire basis,,3000,3000,No,,No
2315,2019-03-07 05:27:29,Handloom and Handicraft,Common Facility Centre,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.11959,93.78239,Approved,https://smartvillage.imagetrekk.com/storage/images/zDWV224gS6w4tcQoVaIba0Y5n5QsGS7dv6o7Jntk.jpeg?asset_id=2315,_,2,Kacha Road,1,3G Reliable,"[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""Vodafone"",""BSNL""]","[""None""]",6.00 am to 18.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",1,2,Tap Water from Government,,Yes,No,Yes,Yes,Discarded in Govt. designated sites,,Yes,3,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,"[""Cane and Bamboo""]",No,Manual,"[""Sold directly to cutomers from the CFCs"",""Sold to wholesale markets""]","[""The buyer has to arrange transporation""]",Post-sale,,10000,10000,No,,Yes
